Date,Lot,Final_OOF_Raw_Probability,Final_OOF_Risk_Score,Final_OOF_Risk_Percentile,Final_OOF_Threshold,Final_OOF_Prediction,Final_OOF_Fold
2021-09-06,1,0.00083207386,0.0346135947924938,0.5318181818181819,0.04356123134493828,정상 위험,1
2021-09-06,2,0.00076573837,-0.0057082946312341926,0.4954545454545455,0.04356123134493828,정상 위험,1
2021-09-06,3,0.0009672453,0.11677728810893723,0.5590909090909091,0.04356123134493828,정상 위험,1
2021-09-06,4,0.0011317305,0.21675927012757562,0.5909090909090909,0.04356123134493828,정상 위험,1
2021-09-06,5,0.0004869305,-0.17518107540547312,0.2818181818181818,0.04356123134493828,정상 위험,1
2021-09-06,6,0.0008656473,0.05502113021834839,0.5363636363636364,0.04356123134493828,정상 위험,1
2021-09-06,7,0.0020780277,0.7919640687662406,0.7454545454545455,0.04356123134493828,정상 위험,1
2021-09-06,8,0.0008790411,0.06316253342547831,0.5454545454545454,0.04356123134493828,정상 위험,1
2021-09-06,9,0.0017972054,0.6212668259596565,0.7090909090909091,0.04356123134493828,정상 위험,1
2021-09-06,10,0.00044555636,-0.20033026774083437,0.25,0.04356123134493828,정상 위험,1
2021-09-06,11,0.0034880685,1.6490544451739895,0.7909090909090909,0.04356123134493828,정상 위험,1
2021-09-06,12,0.0005952794,-0.10932143503801246,0.39545454545454545,0.04356123134493828,정상 위험,1
2021-09-06,13,0.0011531892,0.22980290875851686,0.5954545454545455,0.04356123134493828,정상 위험,1
2021-09-06,14,0.00036925945,-0.24670718958144947,0.1409090909090909,0.04356123134493828,정상 위험,1
2021-09-06,15,0.00032541258,-0.2733594194548026,0.11818181818181818,0.04356123134493828,정상 위험,1
2021-09-06,16,0.026663382,15.736120763109717,0.9772727272727273,0.04356123134493828,정상 위험,1
2021-09-06,17,0.0011960161,0.25583513255157525,0.6,0.04356123134493828,정상 위험,1
2021-09-06,18,0.00041360597,-0.21975124571298973,0.19090909090909092,0.04356123134493828,정상 위험,1
2021-09-06,19,0.0010056319,0.14011047667334814,0.5681818181818182,0.04356123134493828,정상 위험,1
2021-09-06,20,0.0023764817,0.9733786934761021,0.759090909090909,0.04356123134493828,정상 위험,1
2021-09-06,21,0.00055455655,-0.13407472712311216,0.36818181818181817,0.04356123134493828,정상 위험,1
2021-09-06,22,0.00026767646,-0.3084542013784065,0.06363636363636363,0.04356123134493828,정상 위험,1
2021-09-07,1,0.0004087264,-0.2227172867272933,0.19090909090909092,0.04356123134493828,정상 위험,1
2021-09-07,2,0.005697746,2.9922022740868437,0.8590909090909091,0.04356123134493828,정상 위험,1
2021-09-07,3,0.03477079,20.664192539246603,0.9772727272727273,0.04356123134493828,정상 위험,1
2021-09-07,4,0.000749963,-0.01529732809346494,0.4863636363636364,0.04356123134493828,정상 위험,1
2021-09-07,5,0.00059839955,-0.10742485011330453,0.39545454545454545,0.04356123134493828,정상 위험,1
2021-09-07,6,0.00038550954,-0.23682960305688278,0.1590909090909091,0.04356123134493828,정상 위험,1
2021-09-07,7,0.0032199349,1.4860699952137801,0.7818181818181819,0.04356123134493828,정상 위험,1
2021-09-07,8,0.0009433823,0.10227222047428244,0.5545454545454546,0.04356123134493828,정상 위험,1
2021-09-07,9,0.0011321942,0.21704111841334203,0.5909090909090909,0.04356123134493828,정상 위험,1
2021-09-07,10,0.0069281217,3.7400836929484766,0.8727272727272727,0.04356123134493828,정상 위험,1
2021-09-07,11,0.0012220367,0.27165168278835206,0.6090909090909091,0.04356123134493828,정상 위험,1
2021-09-07,12,0.00047998625,-0.17940213029680666,0.2772727272727273,0.04356123134493828,정상 위험,1
2021-09-07,13,0.00089174043,0.07088180106927919,0.5454545454545454,0.04356123134493828,정상 위험,1
2021-09-07,14,0.005225658,2.705244630141792,0.8318181818181818,0.04356123134493828,정상 위험,1
