Date,Lot,Defect,Progress,Progress_Ratio,Prefix_Length,Timestamp,pH_Current,pH_std,pH_min,pH_IQR,pH_exc_high_rate,pH_Display_Excursion_Rate,Temp_Current,Temp_std,Temp_min,Temp_IQR,Temp_exc_high_rate,Temp_Display_Excursion_Rate,Voltage_Current,Voltage_std,Voltage_min,Voltage_IQR,Voltage_exc_high_rate,Voltage_Display_Excursion_Rate,EW_Raw_Probability,EW_Risk_Score,EW_Risk_Percentile,EW_Reference_Threshold,EW_Threshold_Alert,EW_Display_Status,EW_Validated,Actual_Label,EW_OOF_Raw_Probability,EW_OOF_Risk_Score,EW_OOF_Risk_Percentile,EW_OOF_Reference_Threshold,EW_OOF_Threshold_Alert,EW_OOF_Fold
2021-09-06,1,0,20,0.2,14,2021-09-06 16:30:59.000,1.88,0.1177000284761932,1.85,0.185,0.0,0.0,41.33,1.2237253965468904,40.13,1.6500000000000057,0.0,0.0,18.34,1.2054938343332096,15.33,1.3099999999999987,0.0714285714285714,0.0,0.00014077834,-0.2623424733126716,0.1681818181818181,0.045932300388813,False,낮음,False,정상,0.00030419597,-0.15219379405962769,0.24545454545454545,0.10472393780946732,False,1
2021-09-06,1,0,30,0.3,21,2021-09-06 16:31:34.100,2.07,0.1045124736232816,1.85,0.1400000000000001,0.0,0.0,41.14,1.2565009995637728,40.13,2.1300000000000026,0.0,0.0,18.47,1.3111120325528105,15.08,1.650000000000002,0.0476190476190476,0.0,0.00057075266,0.0828012451697685,0.5863636363636363,0.0354211032390594,False,낮음,False,정상,0.00060932094,0.11631886704765143,0.5863636363636363,0.12384884059429169,False,1
2021-09-06,1,0,40,0.4,28,2021-09-06 16:32:09.100,2.12,0.1038893133002111,1.81,0.1474999999999999,0.0,0.0,41.71,1.3163718777894486,40.13,2.1325000000000003,0.0,0.0,17.29,1.4302371043303186,15.08,2.080000000000002,0.0357142857142857,0.0,0.00034856523,0.0671988496532417,0.5363636363636364,0.035061702132225,False,낮음,False,정상,0.00030526365,0.008680021989703626,0.5045454545454545,0.043242309242486954,False,1
2021-09-06,1,0,50,0.5,35,2021-09-06 16:32:44.100,1.82,0.1103066771560547,1.81,0.1549999999999998,0.0,0.0,40.61,1.3672147360432378,40.13,2.2150000000000034,0.0285714285714285,0.0,19.61,1.453035536009895,15.08,2.030000000000001,0.0571428571428571,0.0,5.773484e-05,-0.1098812865955036,0.3409090909090909,0.0189888644963502,False,낮음,False,정상,5.4544267e-05,-0.1192956671902106,0.36363636363636365,0.010447117500007153,False,1
2021-09-06,1,0,60,0.6,41,2021-09-06 16:33:14.100,1.95,0.1071567122284449,1.81,0.1600000000000001,0.0,0.0,43.02,1.3528968918583557,40.13,2.3200000000000003,0.024390243902439,0.0,16.81,1.6398153524845116,12.77,2.330000000000002,0.048780487804878,2.4390243902439024,0.00031816878,0.2382659425318096,0.6590909090909091,0.0195298474282026,False,낮음,False,정상,0.0002979792,0.42041779747771485,0.6772727272727272,0.009915557689964771,False,1
2021-09-06,1,0,65,0.65,45,2021-09-06 16:33:34.200,2.04,0.1061079115282592,1.81,0.1600000000000001,0.0,0.0,40.94,1.404710078286763,40.13,2.4399999999999977,0.0222222222222222,0.0,15.93,1.637729704761621,12.77,2.620000000000001,0.0444444444444444,2.2222222222222223,0.00045085698,0.7245527843109577,0.740909090909091,0.0202237516641616,False,낮음,False,정상,0.0003093542,0.7981191029442951,0.7363636363636363,0.005443901754915714,False,1
2021-09-06,1,0,70,0.7,48,2021-09-06 16:33:49.200,1.99,0.1037146932148598,1.81,0.1600000000000001,0.0,0.0,42.29,1.3980779454269927,40.13,2.5075000000000003,0.0208333333333333,0.0,15.59,1.6261620912944443,12.77,2.6950000000000003,0.0416666666666666,2.083333333333333,0.00043705682,0.6242493411467679,0.7136363636363636,0.0302053727209568,False,낮음,False,정상,0.00033251013,0.8787363529244431,0.7545454545454545,0.006403928156942129,False,1
2021-09-06,1,0,75,0.75,52,2021-09-06 16:34:09.200,2.0,0.1015451886569054,1.81,0.1600000000000001,0.0,0.0,40.61,1.3808553101726395,40.13,2.5075000000000003,0.0192307692307692,0.0,18.6,1.583439216115106,12.77,2.4475000000000016,0.0384615384615384,1.9230769230769231,0.00023186297,0.2923746312182667,0.6318181818181818,0.0217093117535114,False,낮음,False,정상,0.00017858366,0.3306051739104015,0.6545454545454545,0.007156230043619871,False,1
2021-09-06,1,0,80,0.8,55,2021-09-06 16:34:24.200,2.16,0.1010810256050745,1.81,0.1500000000000001,0.0,0.0,41.62,1.364194536716349,40.13,2.499999999999993,0.0181818181818181,0.0,17.75,1.5806905110053937,12.77,2.525000000000002,0.0363636363636363,1.818181818181818,0.00024753076,0.3052694120170343,0.6454545454545455,0.027820948511362,False,낮음,False,정상,0.00022349754,0.44131677698170046,0.6681818181818182,0.007958420552313328,False,1
2021-09-06,1,0,100,1.0,69,2021-09-06 16:35:34.300,2.02,0.1009804873405224,1.81,0.1600000000000001,0.0,0.0,40.76,1.2897577704997032,40.13,2.229999999999997,0.0144927536231884,0.0,16.25,1.5687205841384706,12.77,2.6000000000000014,0.0289855072463768,1.4492753623188406,0.00049959193,0.5493647457964739,0.7,0.030927175655961,False,낮음,False,정상,0.0004421122,0.7519260157993076,0.7454545454545455,0.006223993841558695,False,1
