Date,Lot,Start_Time,End_Time,Duration_sec,Total_Points,pH_Mean,Temp_Mean,Voltage_Mean,Defect,pH_std,pH_min,pH_IQR,pH_exc_high_rate,Temp_std,Temp_min,Temp_IQR,Temp_exc_high_rate,Voltage_std,Voltage_min,Voltage_IQR,Voltage_exc_high_rate,Final_Raw_Probability,Final_Risk_Score,Final_Risk_Percentile,Final_Threshold,Final_Prediction,Prediction_Source,Actual_Label,Final_OOF_Raw_Probability,Final_OOF_Risk_Score,Final_OOF_Risk_Percentile,Final_OOF_Threshold,Final_OOF_Prediction,Final_OOF_Fold
2021-09-06,1,2021-09-06 16:29:54.000,2021-09-06 16:35:34.300,340.3,69,2.0,42.381159420289855,17.327391304347824,0,0.1009804873405224,1.81,0.1600000000000001,0.0,1.2897577704997032,40.13,2.229999999999997,0.0144927536231884,1.5687205841384706,12.77,2.6000000000000014,0.0289855072463768,0.00073771045,0.1061456065758049,0.55,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.00083207386,0.0346135947924938,0.5318181818181819,0.04356123134493828,정상 위험,1
2021-09-06,2,2021-09-06 16:35:59.700,2021-09-06 16:41:40.000,340.3,69,1.985217391304348,42.3572463768116,16.919420289855072,0,0.1249777473798973,1.81,0.2299999999999999,0.0289855072463768,1.4857468750231624,36.94,1.8999999999999984,0.0289855072463768,1.2504056801200103,15.09,1.8400000000000016,0.0289855072463768,0.00048212789,-0.034657098554931,0.4727272727272727,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.00076573837,-0.0057082946312341926,0.4954545454545455,0.04356123134493828,정상 위험,1
2021-09-06,3,2021-09-06 16:42:07.600,2021-09-06 16:47:47.900,340.3,69,2.0347826086956524,42.619565217391305,17.36449275362319,0,0.1462532925285703,1.81,0.1799999999999999,0.072463768115942,1.3137154705627505,40.06,2.199999999999996,0.0144927536231884,1.428904903837699,15.13,2.34,0.0434782608695652,0.0007654947,0.1214522038349057,0.55,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0009672453,0.11677728810893723,0.5590909090909091,0.04356123134493828,정상 위험,1
2021-09-06,4,2021-09-06 16:48:15.800,2021-09-06 16:53:56.100,340.3,69,1.991304347826087,42.67,17.590434782608696,0,0.1187175719621283,1.81,0.1699999999999999,0.0289855072463768,1.320719500878214,40.04,2.1200000000000045,0.0579710144927536,1.5937750549657883,12.05,2.640000000000001,0.072463768115942,0.0008766697,0.1826995006320048,0.5863636363636363,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0011317305,0.21675927012757562,0.5909090909090909,0.04356123134493828,정상 위험,1
2021-09-06,5,2021-09-06 16:54:23.000,2021-09-06 17:00:03.300,340.3,69,2.0243478260869567,42.39753623188405,17.59173913043478,0,0.1193299708528164,1.82,0.1800000000000001,0.0434782608695652,1.559369599056639,36.53,2.3999999999999986,0.0869565217391304,1.3225887677556278,15.08,1.9600000000000009,0.0579710144927536,0.0002942482,-0.1381616893897135,0.3318181818181818,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0004869305,-0.17518107540547312,0.2818181818181818,0.04356123134493828,정상 위험,1
2021-09-06,6,2021-09-06 17:00:28.800,2021-09-06 17:06:09.100,340.3,69,1.99768115942029,42.690289855072464,17.214492753623187,0,0.1141869587631492,1.81,0.1700000000000001,0.0144927536231884,1.2587914033315646,40.08,1.9799999999999969,0.0144927536231884,1.412557688808292,12.38,1.8599999999999997,0.0434782608695652,0.0007353538,0.1048473051842536,0.55,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0008656473,0.05502113021834839,0.5363636363636364,0.04356123134493828,정상 위험,1
2021-09-06,7,2021-09-06 17:06:36.200,2021-09-06 17:12:16.500,340.3,69,2.025217391304348,42.26275362318841,17.50695652173913,0,0.1420294987550968,1.82,0.2199999999999999,0.072463768115942,1.2459910820873037,40.18,1.5,0.0579710144927536,1.2958931786357943,15.12,2.09,0.0434782608695652,0.0021058435,0.8598622666792012,0.7545454545454545,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0020780277,0.7919640687662406,0.7454545454545455,0.04356123134493828,정상 위험,1
2021-09-06,8,2021-09-06 17:12:41.900,2021-09-06 17:18:22.300,340.4,69,2.0291304347826085,42.455217391304345,17.798840579710145,0,0.1012675421322847,1.83,0.1499999999999999,0.0289855072463768,1.6121793878215365,36.8,2.450000000000003,0.1014492753623188,1.3112673889744588,15.01,1.6400000000000006,0.0579710144927536,0.00029963205,-0.1351956734114945,0.3363636363636363,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0008790411,0.06316253342547831,0.5454545454545454,0.04356123134493828,정상 위험,1
2021-09-06,9,2021-09-06 17:18:49.700,2021-09-06 17:24:30.000,340.3,69,2.0088405797101445,42.47840579710145,17.490579710144925,0,0.1180545266825767,1.82,0.1800000000000001,0.0144927536231884,1.4900667406967394,37.38,2.1899999999999977,0.0869565217391304,1.4943352683678954,12.96,2.650000000000002,0.0289855072463768,0.00039848327,-0.0807376588264795,0.4090909090909091,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0017972054,0.6212668259596565,0.7090909090909091,0.04356123134493828,정상 위험,1
2021-09-06,10,2021-09-06 17:24:57.000,2021-09-06 17:30:37.300,340.3,69,1.9881159420289856,42.31130434782609,17.176666666666666,0,0.1045758289798369,1.81,0.1899999999999999,0.0144927536231884,1.3964270721290593,40.24,2.4099999999999966,0.0579710144927536,1.5981613209695502,13.7,2.58,0.0579710144927536,0.00038520427,-0.0880531784724572,0.4,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.00044555636,-0.20033026774083437,0.25,0.04356123134493828,정상 위험,1
2021-09-06,11,2021-09-06 17:31:05.000,2021-09-06 17:36:45.300,340.3,69,2.0068115942028983,42.45057971014493,17.34173913043478,0,0.1361389077983909,1.81,0.2399999999999997,0.072463768115942,1.590104402841276,36.43,2.6000000000000014,0.0144927536231884,1.4012745842118368,15.02,2.34,0.0289855072463768,0.0013896888,0.4653262806571615,0.7090909090909091,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0034880685,1.6490544451739895,0.7909090909090909,0.04356123134493828,정상 위험,1
2021-09-06,12,2021-09-06 17:37:11.900,2021-09-06 17:42:52.200,340.3,69,2.01536231884058,42.46434782608696,17.34376811594203,0,0.121117100727608,1.81,0.1999999999999999,0.0289855072463768,1.3763404997875703,40.03,2.3299999999999983,0.0289855072463768,1.5063816224641975,10.72,1.84,0.0434782608695652,0.00056310935,0.0099563109171768,0.509090909090909,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0005952794,-0.10932143503801246,0.39545454545454545,0.04356123134493828,정상 위험,1
2021-09-06,13,2021-09-06 17:43:17.700,2021-09-06 17:48:58.000,340.3,69,1.9839130434782608,42.00420289855072,17.228840579710145,0,0.1097352079178669,1.81,0.2099999999999999,0.0,1.1463155886643974,40.07,1.8400000000000036,0.0,1.710030560641847,13.42,2.6500000000000004,0.0434782608695652,0.0013965473,0.46910468499346,0.7090909090909091,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0011531892,0.22980290875851686,0.5954545454545455,0.04356123134493828,정상 위험,1
2021-09-06,14,2021-09-06 17:49:25.500,2021-09-06 17:55:05.800,340.3,69,1.9991304347826089,42.49695652173913,17.541739130434784,0,0.1118394217884939,1.81,0.1900000000000001,0.0289855072463768,1.3137074886476443,40.04,2.18,0.0289855072463768,1.3455940701171831,15.1,2.0599999999999987,0.0579710144927536,0.00019207453,-0.194450070998803,0.1227272727272727,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.00036925945,-0.24670718958144947,0.1409090909090909,0.04356123134493828,정상 위험,1
2021-09-06,15,2021-09-06 17:55:33.300,2021-09-06 18:01:13.600,340.3,69,2.0163768115942027,42.3063768115942,17.71695652173913,0,0.1181346566484589,1.81,0.1999999999999999,0.0289855072463768,1.4247053059724857,40.2,2.660000000000004,0.0434782608695652,1.438364373728456,13.98,2.259999999999998,0.072463768115942,0.00022399033,-0.1768673737805481,0.2318181818181818,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.00032541258,-0.2733594194548026,0.11818181818181818,0.04356123134493828,정상 위험,1
2021-09-06,16,2021-09-06 18:01:39.000,2021-09-06 18:07:19.300,340.3,69,2.004492753623188,42.48724637681159,17.831884057971017,0,0.13153545967761,1.81,0.1899999999999999,0.0434782608695652,1.7615592057789655,34.45,2.6099999999999994,0.072463768115942,1.2963220317070807,15.36,2.18,0.0289855072463768,0.0032913303,1.512957474460515,0.8090909090909091,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.026663382,15.736120763109717,0.9772727272727273,0.04356123134493828,정상 위험,1
2021-09-06,17,2021-09-06 18:07:46.200,2021-09-06 18:13:26.500,340.3,69,2.015072463768116,42.40130434782609,17.303623188405798,0,0.1104086418773164,1.81,0.1599999999999999,0.0,1.2777783028774383,40.01,2.030000000000001,0.0434782608695652,1.8938600257414613,11.87,2.52,0.0579710144927536,0.0015987677,0.5805096996998209,0.7227272727272728,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0011960161,0.25583513255157525,0.6,0.04356123134493828,정상 위험,1
2021-09-06,18,2021-09-06 18:13:51.900,2021-09-06 18:19:32.200,340.3,69,2.018695652173913,42.42797101449276,17.478985507246374,0,0.1349936059866874,1.81,0.1999999999999999,0.0434782608695652,1.3920874927183202,40.16,2.519999999999996,0.0289855072463768,1.4518863439227,15.06,2.490000000000002,0.0579710144927536,0.0002830445,-0.1443339040572123,0.3136363636363636,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.00041360597,-0.21975124571298973,0.19090909090909092,0.04356123134493828,정상 위험,1
2021-09-06,19,2021-09-06 18:20:00.000,2021-09-06 18:25:40.300,340.3,69,2.0076811594202897,42.666811594202905,17.28782608695652,0,0.1240866031487239,1.81,0.2000000000000001,0.0434782608695652,1.3254937956160104,40.1,2.059999999999995,0.0289855072463768,1.495762514144952,12.07,2.1899999999999977,0.0434782608695652,0.00062426674,0.0436484618018959,0.5181818181818182,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0010056319,0.14011047667334814,0.5681818181818182,0.04356123134493828,정상 위험,1
2021-09-06,20,2021-09-06 18:26:05.900,2021-09-06 18:31:46.200,340.3,69,1.974927536231884,42.44898550724638,17.144927536231883,0,0.1058526054641379,1.81,0.1599999999999999,0.0144927536231884,1.6161466016491717,40.01,2.960000000000001,0.0579710144927536,1.7962588762631446,11.77,2.1499999999999986,0.0289855072463768,0.0024580518,1.0538969322194247,0.7772727272727272,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0023764817,0.9733786934761021,0.759090909090909,0.04356123134493828,정상 위험,1
2021-09-06,21,2021-09-06 18:32:13.400,2021-09-06 18:37:53.800,340.4,69,1.984927536231884,42.31507246376812,17.622318840579712,0,0.1120743344235763,1.81,0.1899999999999999,0.0289855072463768,1.392647313137619,37.22,1.8100000000000025,0.0144927536231884,1.3362173838285798,15.1,2.0599999999999987,0.0434782608695652,0.00043549188,-0.0603492892349431,0.4545454545454545,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.00055455655,-0.13407472712311216,0.36818181818181817,0.04356123134493828,정상 위험,1
2021-09-06,22,2021-09-06 18:38:21.700,2021-09-06 18:44:02.100,340.4,69,1.9824637681159416,42.41434782608696,17.24,0,0.1080632412484555,1.81,0.1499999999999999,0.0289855072463768,1.4146268248935618,40.06,2.479999999999997,0.0289855072463768,1.4175704153067463,15.17,2.09,0.0579710144927536,0.00019640614,-0.1920637483395696,0.1272727272727272,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.00026767646,-0.3084542013784065,0.06363636363636363,0.04356123134493828,정상 위험,1
2021-09-07,1,2021-09-07 16:23:31.000,2021-09-07 16:29:11.300,340.3,69,2.008260869565217,42.68927536231884,17.44840579710145,0,0.1252286910573556,1.81,0.1900000000000001,0.0579710144927536,1.4295271933719695,40.01,2.6299999999999955,0.072463768115942,1.3435046609831862,15.02,1.9600000000000009,0.0579710144927536,0.00022068231,-0.1786897881594501,0.2227272727272727,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.0004087264,-0.2227172867272933,0.19090909090909092,0.04356123134493828,정상 위험,1
2021-09-07,2,2021-09-07 16:29:37.500,2021-09-07 16:35:17.800,340.3,69,2.027536231884058,42.56405797101449,17.24623188405797,0,0.1577824805482074,1.81,0.2200000000000002,0.072463768115942,1.3995664442548126,40.05,1.9699999999999989,0.072463768115942,1.3925443296875426,15.08,2.33,0.0434782608695652,0.00439744,2.1223230104645308,0.8454545454545455,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.005697746,2.9922022740868437,0.8590909090909091,0.04356123134493828,정상 위험,1
2021-09-07,3,2021-09-07 16:35:43.700,2021-09-07 16:41:24.100,340.4,69,2.000289855072464,42.54710144927536,17.578550724637683,0,0.113123709150812,1.81,0.2000000000000001,0.0289855072463768,1.873099901114912,35.12,2.210000000000001,0.0869565217391304,1.2746709787262047,13.39,1.5399999999999991,0.0144927536231884,0.016377002,8.721970293815888,0.9409090909090908,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.03477079,20.664192539246603,0.9772727272727273,0.04356123134493828,정상 위험,1
2021-09-07,4,2021-09-07 16:41:50.600,2021-09-07 16:47:31.000,340.4,69,2.010869565217391,42.34289855072464,17.651014492753625,0,0.1061317041176943,1.82,0.1399999999999999,0.0434782608695652,1.4214678633776834,37.12,1.910000000000004,0.0434782608695652,1.4338842197573776,13.65,2.270000000000003,0.0434782608695652,0.0004156744,-0.0712669082044806,0.4363636363636363,0.1503260135650634,정상 위험,deployment_demo_not_oof_validation,정상,0.000749963,-0.01529732809346494,0.4863636363636364,0.04356123134493828,정상 위험,1
