Date,Lot,Progress,EW_OOF_Raw_Probability,EW_OOF_Risk_Score,EW_OOF_Risk_Percentile,EW_OOF_Reference_Threshold,EW_OOF_Threshold_Alert,EW_OOF_Fold
2021-09-06,1,20,0.00030419597,-0.15219379405962769,0.24545454545454545,0.10472393780946732,False,1
2021-09-06,2,20,0.00015956922,-0.1874752914500871,0.14545454545454545,0.10472393780946732,False,1
2021-09-06,3,20,0.07016337,16.889855021602166,0.9636363636363636,0.10472393780946732,False,1
2021-09-06,4,20,0.001172999,0.05974951362462523,0.5409090909090909,0.10472393780946732,False,1
2021-09-06,5,20,0.005817802,1.192842819616099,0.8,0.10472393780946732,False,1
2021-09-06,6,20,0.00012581625,-0.195709280312406,0.09545454545454546,0.10472393780946732,False,1
2021-09-06,7,20,0.00076764857,-0.03913517298380247,0.4636363636363636,0.10472393780946732,False,1
2021-09-06,8,20,0.003758305,0.6904313290431537,0.7363636363636363,0.10472393780946732,False,1
2021-09-06,9,20,0.0086579025,1.8856813704538535,0.8363636363636363,0.10472393780946732,False,1
2021-09-06,10,20,0.001522381,0.1449807549805044,0.5863636363636363,0.10472393780946732,False,1
2021-09-06,11,20,0.0011070616,0.04366417463610901,0.5363636363636364,0.10472393780946732,False,1
2021-09-06,12,20,6.806436e-05,-0.20979777531436233,0.045454545454545456,0.10472393780946732,False,1
2021-09-06,13,20,0.00026359342,-0.16209873008760892,0.2409090909090909,0.10472393780946732,False,1
2021-09-06,14,20,0.00012993577,-0.19470433001694282,0.10454545454545454,0.10472393780946732,False,1
2021-09-06,15,20,0.0046711955,0.9131297146060935,0.7545454545454545,0.10472393780946732,False,1
2021-09-06,16,20,0.0002457879,-0.1664423620371397,0.21818181818181817,0.10472393780946732,False,1
2021-09-06,17,20,0.00048113122,-0.10903068347820088,0.35909090909090907,0.10472393780946732,False,1
2021-09-06,18,20,0.00022856005,-0.17064507282747077,0.20909090909090908,0.10472393780946732,False,1
2021-09-06,19,20,0.0011680619,0.058545096895570796,0.5409090909090909,0.10472393780946732,False,1
2021-09-06,20,20,0.0003790377,-0.13393625925494662,0.30454545454545456,0.10472393780946732,False,1
2021-09-06,21,20,0.00013885813,-0.19252773230044778,0.11363636363636363,0.10472393780946732,False,1
2021-09-06,22,20,0.0010349498,0.02607259055267204,0.5272727272727272,0.10472393780946732,False,1
2021-09-07,1,20,0.0013760135,0.10927461265504669,0.5818181818181818,0.10472393780946732,False,1
2021-09-07,2,20,0.0007520305,-0.042945173916046867,0.4590909090909091,0.10472393780946732,False,1
2021-09-07,3,20,0.013476438,3.0611564284186272,0.8909090909090909,0.10472393780946732,False,1
2021-09-07,4,20,0.00016065102,-0.18721138687553324,0.14545454545454545,0.10472393780946732,False,1
2021-09-07,5,20,8.084111e-05,-0.20668090328798136,0.05454545454545454,0.10472393780946732,False,1
2021-09-07,6,20,0.0013232582,0.09640501805419896,0.5727272727272728,0.10472393780946732,False,1
2021-09-07,7,20,0.0018891817,0.23446127852222412,0.6227272727272727,0.10472393780946732,False,1
2021-09-07,8,20,0.0011576898,0.05601485618641954,0.5363636363636364,0.10472393780946732,False,1
2021-09-07,9,20,0.0061079366,1.2636207194310414,0.8045454545454546,0.10472393780946732,False,1
2021-09-07,10,20,0.006517984,1.3636512064957396,0.8136363636363636,0.10472393780946732,False,1
2021-09-07,11,20,0.000747325,-0.04409307592473303,0.45454545454545453,0.10472393780946732,False,1
2021-09-07,12,20,2.8959066e-05,-0.2193374570063466,0.00909090909090909,0.10472393780946732,False,1
